mm7412 ENSMUSG00000040471
mm23428 ENSMUSG00000018585
mm23429 ENSMUSG00000062026
mm7030 ENSMUSG00000005506
mm7031 ENSMUSG00000055150
mm7032 ENSMUSG00000050963
mm7033 ENSMUSG00000039814
mm7034 ENSMUSG00000029821
mm7035 ENSMUSG00000032936
mm7036 ENSMUSG00000042861
mm7037 ENSMUSG00000029179
mm7038 ENSMUSG00000051684
mm7039 ENSMUSG00000013275
mm12587 ENSMUSG00000020878
mm12586 ENSMUSG00000061185
mm12585 ENSMUSG00000059231
mm12584 ENSMUSG00000059069
mm12583 ENSMUSG00000063583
mm12582 ENSMUSG00000042569
mm12581 ENSMUSG00000061498 ENSMUSG00000045953
mm12580 ENSMUSG00000063669 ENSMUSG00000058862
mm12589 ENSMUSG00000021263
mm12588 ENSMUSG00000019987
mm19270 ENSMUSG00000013091
mm19271 ENSMUSG00000053038
mm19272 ENSMUSG00000032300
mm19273 ENSMUSG00000018914
mm19274 ENSMUSG00000024007
mm19275 ENSMUSG00000013766
mm19276 ENSMUSG00000022931
mm19277 ENSMUSG00000039373
mm15757 ENSMUSG00000033219 ENSMUSG00000058505
mm15756 ENSMUSG00000030512
mm15755 ENSMUSG00000025134
mm15754 ENSMUSG00000001827
mm15753 ENSMUSG00000044256
mm15752 ENSMUSG00000029993
mm15751 ENSMUSG00000013643
mm15750 ENSMUSG00000029001
mm24618 ENSMUSG00000069700
mm24619 ENSMUSG00000066497
mm24616 ENSMUSG00000069709
mm24617 ENSMUSG00000066493
mm24614 ENSMUSG00000067268
mm24615 ENSMUSG00000069337
mm24612 ENSMUSG00000067837
mm24613 ENSMUSG00000067580
mm24610 ENSMUSG00000067549
mm24611 ENSMUSG00000051789
mm21066 ENSMUSG00000030069
mm21067 ENSMUSG00000037247
mm21064 ENSMUSG00000032305
mm21065 ENSMUSG00000042579
mm21062 ENSMUSG00000027443
mm21063 ENSMUSG00000039133
mm21060 ENSMUSG00000020405
mm21061 ENSMUSG00000052495
mm21068 ENSMUSG00000049414
mm21069 ENSMUSG00000068914
mm13288 ENSMUSG00000002731
mm19494 ENSMUSG00000068957
mm19495 ENSMUSG00000021909
mm19496 ENSMUSG00000030804
mm19497 ENSMUSG00000024512
mm19490 ENSMUSG00000056195
mm19491 ENSMUSG00000056753
mm19492 ENSMUSG00000058384
mm19493 ENSMUSG00000058656
mm19498 DIP:116N ENSMUSG00000059436
mm19499 ENSMUSG00000068127
mm21390 ENSMUSG00000050705
mm21391 ENSMUSG00000058736
mm21392 ENSMUSG00000043506
mm21393 ENSMUSG00000066954
mm21394 ENSMUSG00000038619
mm21395 ENSMUSG00000065973
mm21396 ENSMUSG00000068767
mm21397 ENSMUSG00000026392
mm21398 ENSMUSG00000053802
mm21399 ENSMUSG00000066610
mm4826 ENSMUSG00000031488
mm4827 ENSMUSG00000026489
mm4824 ENSMUSG00000030963
mm4825 ENSMUSG00000020131
mm4822 ENSMUSG00000032131
mm4823 ENSMUSG00000024283
mm4820 ENSMUSG00000053212
mm4821 ENSMUSG00000026200
mm4828 ENSMUSG00000043273
mm4829 ENSMUSG00000042410
mm21934 ENSMUSG00000060529
mm21935 ENSMUSG00000029322
mm21936 ENSMUSG00000057878
mm21937 ENSMUSG00000056332
mm21930 ENSMUSG00000063691
mm21931 ENSMUSG00000055261
mm21932 ENSMUSG00000063459
mm21933 ENSMUSG00000066200
mm21938 ENSMUSG00000020018
mm21939 ENSMUSG00000021040
mm946 ENSMUSG00000002812
mm947 ENSMUSG00000022335
mm944 ENSMUSG00000029286
mm945 ENSMUSG00000031189
mm942 ENSMUSG00000039410
mm943 ENSMUSG00000040964
mm940 ENSMUSG00000068115
mm941 ENSMUSG00000042476
mm948 ENSMUSG00000002100
mm949 ENSMUSG00000054509
mm14158 ENSMUSG00000069388
mm5968 ENSMUSG00000021993
mm5969 ENSMUSG00000048031
mm5964 ENSMUSG00000062181
mm5965 ENSMUSG00000020097
mm5966 ENSMUSG00000038178
mm5967 ENSMUSG00000023047
mm5960 ENSMUSG00000006345
mm5961 ENSMUSG00000026455
mm5962 ENSMUSG00000047588
mm5963 ENSMUSG00000021830
mm2604 ENSMUSG00000056900
mm2605 ENSMUSG00000034087
mm2606 ENSMUSG00000020331
mm2752 ENSMUSG00000039629
mm2753 ENSMUSG00000041591
mm2750 ENSMUSG00000034116
mm2607 ENSMUSG00000025085
mm2756 ENSMUSG00000026365
mm2757 ENSMUSG00000039696
mm2754 ENSMUSG00000026229
mm2755 ENSMUSG00000024908
mm9656 ENSMUSG00000040723
mm2758 ENSMUSG00000039616
mm2759 ENSMUSG00000038745
mm9657 ENSMUSG00000002104
mm16268 ENSMUSG00000068215
mm16269 ENSMUSG00000042494
mm9654 ENSMUSG00000046687
mm16262 ENSMUSG00000055441
mm16263 ENSMUSG00000066356
mm16260 ENSMUSG00000006490
mm9655 ENSMUSG00000019577
mm16266 ENSMUSG00000000489
mm16267 ENSMUSG00000010307
mm16264 ENSMUSG00000063809
mm16265 ENSMUSG00000050490 ENSMUSG00000068749
mm8611 ENSMUSG00000039108
mm8610 ENSMUSG00000047587
mm8613 ENSMUSG00000019763
mm8612 ENSMUSG00000020666
mm8615 ENSMUSG00000022844
mm8614 ENSMUSG00000038213
mm8617 ENSMUSG00000042641
mm8616 ENSMUSG00000067615
mm8619 ENSMUSG00000045775
mm8618 ENSMUSG00000067697
mm6729 ENSMUSG00000045064
mm6728 ENSMUSG00000036737
mm3939 ENSMUSG00000037234
mm3938 ENSMUSG00000009145 ENSMUSG00000069680
mm6723 ENSMUSG00000027187
mm6722 ENSMUSG00000030443
mm6721 ENSMUSG00000036641
mm6720 ENSMUSG00000048217
mm6727 ENSMUSG00000068966
mm6726 ENSMUSG00000025246
mm6725 ENSMUSG00000026538
mm6724 ENSMUSG00000013384
mm5199 ENSMUSG00000031297
mm5198 ENSMUSG00000047130
mm5195 ENSMUSG00000020656
mm5194 ENSMUSG00000044957
mm5197 ENSMUSG00000032500
mm5196 ENSMUSG00000063774
mm5191 ENSMUSG00000044646
mm5190 ENSMUSG00000026582
mm5193 ENSMUSG00000029885
mm5192 ENSMUSG00000027719
mm22719 ENSMUSG00000068810
mm22718 ENSMUSG00000069488
mm22715 ENSMUSG00000020676
mm22714 ENSMUSG00000041841 ENSMUSG00000061364
mm22717 ENSMUSG00000058744
mm22716 ENSMUSG00000002992
mm22711 ENSMUSG00000029819
mm22710 ENSMUSG00000063141
mm22713 ENSMUSG00000030785
mm22712 ENSMUSG00000068320
mm13348 ENSMUSG00000047100
mm13349 ENSMUSG00000064245
mm13342 ENSMUSG00000021661
mm13343 ENSMUSG00000059189
mm13340 ENSMUSG00000030196
mm13341 ENSMUSG00000061900
mm13346 ENSMUSG00000061614
mm13347 ENSMUSG00000067519
mm13344 ENSMUSG00000027195
mm13345 ENSMUSG00000048941 ENSMUSG00000067734
mm9982 ENSMUSG00000026000
mm9983 ENSMUSG00000035169
mm9980 ENSMUSG00000029451
mm9981 ENSMUSG00000031549
mm9986 ENSMUSG00000062677
mm9987 ENSMUSG00000016503
mm9984 ENSMUSG00000020787
mm9985 ENSMUSG00000021678
mm9988 ENSMUSG00000068760
mm9989 ENSMUSG00000003269
mm7131 ENSMUSG00000057691
mm7130 ENSMUSG00000022783
mm7133 ENSMUSG00000061132
mm7132 ENSMUSG00000000567
mm24458 ENSMUSG00000066049
mm24459 ENSMUSG00000066866
mm7137 ENSMUSG00000026526
mm7136 ENSMUSG00000059852
mm24454 ENSMUSG00000067793
mm24455 ENSMUSG00000066812
mm24456 ENSMUSG00000066131
mm24457 ENSMUSG00000066379
mm24450 ENSMUSG00000060925
mm24451 ENSMUSG00000057594
mm24452 ENSMUSG00000068216
mm24453 ENSMUSG00000069357
mm24186 ENSMUSG00000038803
mm24187 ENSMUSG00000069993
mm24184 ENSMUSG00000066851
mm24185 ENSMUSG00000066648
mm24182 ENSMUSG00000068025
mm24183 ENSMUSG00000054305
mm24180 ENSMUSG00000066886
mm24181 ENSMUSG00000068972
mm24188 ENSMUSG00000067592
mm24189 ENSMUSG00000067354
mm23111 ENSMUSG00000028988
mm6268 ENSMUSG00000030270
mm6269 ENSMUSG00000066999
mm6266 ENSMUSG00000034918
mm6267 ENSMUSG00000026740
mm6264 ENSMUSG00000057751
mm6265 ENSMUSG00000064232
mm6262 ENSMUSG00000054079
mm6263 ENSMUSG00000040966
mm6260 ENSMUSG00000053303
mm6261 ENSMUSG00000028518
mm10707 ENSMUSG00000055637
mm10706 ENSMUSG00000021795
mm10705 ENSMUSG00000028571
mm10704 ENSMUSG00000026125
mm10703 ENSMUSG00000041658
mm10702 ENSMUSG00000026080
mm10701 DIP:5919N ENSMUSG00000047880
mm10700 ENSMUSG00000003559
mm15959 ENSMUSG00000040616
mm15958 ENSMUSG00000057827
mm10709 ENSMUSG00000038954
mm10708 ENSMUSG00000026315
mm11252 ENSMUSG00000005677
mm11253 ENSMUSG00000029156
mm11250 ENSMUSG00000055334
mm11251 ENSMUSG00000004460
mm11256 ENSMUSG00000030346
mm11257 ENSMUSG00000025777
mm11254 ENSMUSG00000028358
mm11255 ENSMUSG00000021484
mm11258 ENSMUSG00000062762
mm11259 ENSMUSG00000066665
mm20609 ENSMUSG00000062281
mm20608 ENSMUSG00000055620
mm20605 ENSMUSG00000053792
mm20604 ENSMUSG00000063392
mm20607 ENSMUSG00000058823
mm20606 ENSMUSG00000051168
mm20601 ENSMUSG00000023048
mm20600 ENSMUSG00000027445
mm20603 ENSMUSG00000009210
mm20602 ENSMUSG00000069751
mm12568 ENSMUSG00000057837
mm12631 ENSMUSG00000019883
mm12630 ENSMUSG00000019936
mm12633 ENSMUSG00000048237
mm12632 ENSMUSG00000045559
mm12635 ENSMUSG00000049641
mm12634 ENSMUSG00000000732
mm12637 ENSMUSG00000029847
mm12636 ENSMUSG00000060509
mm12639 ENSMUSG00000013997
mm12638 ENSMUSG00000049291
mm9209 ENSMUSG00000045509
mm9208 ENSMUSG00000047636
mm16703 ENSMUSG00000045677
mm16702 ENSMUSG00000040613
mm16705 ENSMUSG00000038236
mm16704 ENSMUSG00000069726
mm16707 ENSMUSG00000067402
mm16706 ENSMUSG00000015242
mm16709 ENSMUSG00000049848
mm9200 ENSMUSG00000000120
mm9203 ENSMUSG00000046694
mm9202 ENSMUSG00000036819
mm9205 ENSMUSG00000022911
mm9204 ENSMUSG00000035179
mm9207 ENSMUSG00000050526
mm9206 ENSMUSG00000021936
mm4246 ENSMUSG00000031981
mm4247 ENSMUSG00000021595
mm4244 ENSMUSG00000003759
mm4245 ENSMUSG00000023216
mm4242 ENSMUSG00000027378
mm4243 ENSMUSG00000033910
mm4240 ENSMUSG00000052005
mm4241 ENSMUSG00000041438
mm4248 ENSMUSG00000023055
mm4249 ENSMUSG00000049502
mm8556 ENSMUSG00000045544
mm8557 ENSMUSG00000030268
mm8554 ENSMUSG00000030898
mm8555 ENSMUSG00000000378
mm8552 ENSMUSG00000024644
mm8553 ENSMUSG00000034768
mm8550 ENSMUSG00000024340
mm8551 ENSMUSG00000011267
mm8558 ENSMUSG00000067437
mm8559 ENSMUSG00000041037
mm18066 ENSMUSG00000041548
mm18067 ENSMUSG00000024041
mm18064 ENSMUSG00000061356
mm18065 ENSMUSG00000050439
mm18062 ENSMUSG00000038523
mm18063 ENSMUSG00000063773
mm18060 ENSMUSG00000030775
mm18061 ENSMUSG00000054523
mm18068 ENSMUSG00000053853
mm18069 ENSMUSG00000022577
mm17944 ENSMUSG00000028691 ENSMUSG00000048164
mm17945 ENSMUSG00000059939
mm17946 ENSMUSG00000068303
mm17947 ENSMUSG00000031021
mm17940 ENSMUSG00000062477
mm17941 ENSMUSG00000069451
mm17942 ENSMUSG00000024939
mm17943 ENSMUSG00000044141
mm17948 ENSMUSG00000001383
mm17949 ENSMUSG00000029609
mm18390 ENSMUSG00000032051
mm18391 ENSMUSG00000024353
mm18392 ENSMUSG00000030114
mm18393 ENSMUSG00000040236
mm18394 ENSMUSG00000066776
mm18395 ENSMUSG00000061206
mm18396 ENSMUSG00000002728
mm18397 ENSMUSG00000055745
mm18398 ENSMUSG00000059556
mm18399 ENSMUSG00000024962
mm3547 ENSMUSG00000010205
mm6639 ENSMUSG00000026361
mm6638 ENSMUSG00000022180
mm18934 ENSMUSG00000059070
mm18935 ENSMUSG00000056209
mm18936 ENSMUSG00000035371
mm18937 ENSMUSG00000021764
mm18930 ENSMUSG00000064326
mm18931 ENSMUSG00000025952
mm18932 ENSMUSG00000058661
mm18933 ENSMUSG00000067395
mm18938 ENSMUSG00000059364
mm18939 ENSMUSG00000063304
mm14853 ENSMUSG00000028621
mm14852 ENSMUSG00000026830
mm6631 ENSMUSG00000027829
mm14851 ENSMUSG00000052435
mm6630 ENSMUSG00000022517
mm14850 ENSMUSG00000052525
mm15548 ENSMUSG00000040055
mm15549 ENSMUSG00000039960
mm15546 ENSMUSG00000020323
mm14857 ENSMUSG00000020399
mm15544 ENSMUSG00000067309
mm15545 ENSMUSG00000030286
mm15542 ENSMUSG00000032110
mm15543 ENSMUSG00000020205
mm15540 ENSMUSG00000018659
mm14856 ENSMUSG00000063049
mm14855 ENSMUSG00000010362
mm14854 ENSMUSG00000044348
mm13702 ENSMUSG00000061520 ENSMUSG00000068819
mm13703 ENSMUSG00000059503
mm1038 ENSMUSG00000058740
mm21215 ENSMUSG00000054810
mm21214 ENSMUSG00000046052
mm21217 ENSMUSG00000028062
mm21216 ENSMUSG00000055302
mm21211 ENSMUSG00000049742
mm21210 ENSMUSG00000046361
mm21213 ENSMUSG00000061111
mm21212 ENSMUSG00000048159
mm21219 ENSMUSG00000067781
mm21218 ENSMUSG00000055404
mm20164 ENSMUSG00000060021
mm20165 ENSMUSG00000063592
mm20166 ENSMUSG00000016495
mm20167 ENSMUSG00000052187
mm20160 ENSMUSG00000059611
mm20161 ENSMUSG00000066383
mm20162 ENSMUSG00000037166
mm20163 ENSMUSG00000027694
mm20168 ENSMUSG00000068381
mm20169 ENSMUSG00000066724 ENSMUSG00000068120
mm1032 ENSMUSG00000006576
mm1033 ENSMUSG00000051220
mm1030 ENSMUSG00000034055
mm1031 ENSMUSG00000036928
mm1036 ENSMUSG00000020734
mm1037 ENSMUSG00000024227
mm1034 ENSMUSG00000044060
mm1035 ENSMUSG00000039990
mm599 ENSMUSG00000040560
mm598 ENSMUSG00000022441
mm595 ENSMUSG00000033792
mm594 ENSMUSG00000040852
mm597 ENSMUSG00000028176
mm596 ENSMUSG00000035248
mm591 ENSMUSG00000063382
mm590 ENSMUSG00000030359
mm593 ENSMUSG00000032340
mm592 ENSMUSG00000021754
mm14242 ENSMUSG00000025317
mm14243 ENSMUSG00000032018
mm14240 ENSMUSG00000032309
mm14241 ENSMUSG00000041791
mm14246 ENSMUSG00000055621
mm14247 ENSMUSG00000029269
mm14244 ENSMUSG00000033055
mm14245 ENSMUSG00000028249
mm22554 ENSMUSG00000061619
mm22853 ENSMUSG00000066777
mm3368 ENSMUSG00000033596 ENSMUSG00000042950
mm3369 ENSMUSG00000022353
mm11012 ENSMUSG00000042298
mm11013 ENSMUSG00000032948
mm11014 ENSMUSG00000030206
mm11015 ENSMUSG00000035187
mm11016 ENSMUSG00000002032
mm11017 ENSMUSG00000046204
mm3360 ENSMUSG00000032604
mm3361 ENSMUSG00000032997
mm3362 ENSMUSG00000024642
mm3363 ENSMUSG00000030184
mm3364 ENSMUSG00000037784
mm3365 ENSMUSG00000041180
mm3366 ENSMUSG00000044022
mm3367 ENSMUSG00000025793
mm13528 ENSMUSG00000049601
mm13529 ENSMUSG00000044292
mm13522 ENSMUSG00000060257
mm13523 ENSMUSG00000042949
mm13520 ENSMUSG00000066749
mm13521 ENSMUSG00000031336
mm13526 ENSMUSG00000032987
mm13527 ENSMUSG00000030588
mm13524 ENSMUSG00000060892 ENSMUSG00000059848
mm13525 ENSMUSG00000063657
mm9047 ENSMUSG00000037855
mm9046 ENSMUSG00000044250
mm9045 ENSMUSG00000045053
mm9044 ENSMUSG00000068225
mm9043 ENSMUSG00000048186
mm9042 ENSMUSG00000021448
mm9041 ENSMUSG00000058921
mm9040 ENSMUSG00000060600
mm9049 ENSMUSG00000049305
mm9048 ENSMUSG00000048763
mm1212 ENSMUSG00000021557
mm1213 ENSMUSG00000031441
mm1210 ENSMUSG00000031442
mm1211 ENSMUSG00000003316
mm1216 ENSMUSG00000020061
mm1217 ENSMUSG00000041757
mm16549 ENSMUSG00000069771
mm1215 ENSMUSG00000034329
mm16547 ENSMUSG00000007209
mm16546 ENSMUSG00000043510
mm16545 ENSMUSG00000044430
mm16544 ENSMUSG00000048875
mm16543 ENSMUSG00000022415
mm16542 ENSMUSG00000061944
mm16541 ENSMUSG00000069112 ENSMUSG00000069511 ENSMUSG00000068803
mm16540 ENSMUSG00000021203
mm10879 ENSMUSG00000034118
mm10878 ENSMUSG00000053137
mm10871 ENSMUSG00000028247
mm10870 ENSMUSG00000049929
mm10873 ENSMUSG00000027938
mm10872 ENSMUSG00000038623
mm10875 ENSMUSG00000018846
mm10874 ENSMUSG00000000159
mm10877 ENSMUSG00000022997
mm10876 ENSMUSG00000035958
mm2543 ENSMUSG00000052675
mm2542 ENSMUSG00000027977
mm2541 ENSMUSG00000032504
mm2540 ENSMUSG00000036686
mm2547 ENSMUSG00000022361
mm2546 ENSMUSG00000047013
mm2545 ENSMUSG00000024924
mm2544 ENSMUSG00000018334
mm2549 ENSMUSG00000016346
mm2548 ENSMUSG00000027971
mm16099 ENSMUSG00000031872
mm16098 ENSMUSG00000049056
mm16091 ENSMUSG00000054106 ENSMUSG00000036938
mm16090 ENSMUSG00000061219
mm16093 ENSMUSG00000049411
mm16092 ENSMUSG00000018326
mm16095 ENSMUSG00000022227
mm16094 ENSMUSG00000036896
mm16097 ENSMUSG00000056617
mm16096 ENSMUSG00000018965
mm7689 ENSMUSG00000025743
mm7688 ENSMUSG00000040189
mm7683 ENSMUSG00000052922
mm7682 ENSMUSG00000043165
mm7681 ENSMUSG00000009378
mm7680 ENSMUSG00000016664
mm7687 ENSMUSG00000040732
mm7686 ENSMUSG00000024365
mm7685 ENSMUSG00000017412
mm7684 ENSMUSG00000067775
mm12730 ENSMUSG00000044039
mm12731 ENSMUSG00000032320
mm12732 ENSMUSG00000051249
mm12733 ENSMUSG00000029610
mm12734 ENSMUSG00000026520
mm12735 ENSMUSG00000030527
mm12736 ENSMUSG00000044665
mm12737 ENSMUSG00000050266
mm12738 ENSMUSG00000063762
mm12739 ENSMUSG00000029052
mm8794 ENSMUSG00000026767
mm8795 ENSMUSG00000035711
mm8796 ENSMUSG00000007891
mm8797 ENSMUSG00000030074
mm8790 ENSMUSG00000032259
mm8791 ENSMUSG00000024665
mm8792 ENSMUSG00000034620
mm8793 ENSMUSG00000009907
mm23675 ENSMUSG00000067277
mm23674 ENSMUSG00000069051 ENSMUSG00000069064
mm23677 ENSMUSG00000069749
mm23676 ENSMUSG00000068110
mm8798 ENSMUSG00000028790 DIP:2861N
mm23670 ENSMUSG00000069974
mm23673 ENSMUSG00000068016
mm23672 ENSMUSG00000063638
mm22108 ENSMUSG00000069237
mm22109 ENSMUSG00000011052
mm22104 ENSMUSG00000044387
mm22105 ENSMUSG00000062053
mm22106 ENSMUSG00000052538
mm22107 ENSMUSG00000042184
mm22100 ENSMUSG00000068738
mm22101 ENSMUSG00000033543
mm22102 ENSMUSG00000020133
mm22103 ENSMUSG00000069499
mm5010 ENSMUSG00000042804
mm5011 ENSMUSG00000051768
mm5012 ENSMUSG00000006169
mm5013 ENSMUSG00000037313
mm5014 ENSMUSG00000041362
mm5015 ENSMUSG00000026114
mm5016 ENSMUSG00000027642
mm5017 ENSMUSG00000042784
mm5018 ENSMUSG00000034552
mm5019 ENSMUSG00000059474
mm11832 ENSMUSG00000040430
mm11833 ENSMUSG00000028187
mm11830 ENSMUSG00000043597
mm11831 ENSMUSG00000059367
mm11836 ENSMUSG00000027224
mm11837 ENSMUSG00000063145
mm11834 ENSMUSG00000030881
mm11835 ENSMUSG00000034435
mm11838 ENSMUSG00000028801
mm11839 ENSMUSG00000024411
mm13069 ENSMUSG00000063116 ENSMUSG00000063861
mm13068 ENSMUSG00000000167
mm13067 ENSMUSG00000057270
mm13066 ENSMUSG00000059105
mm13065 ENSMUSG00000060503 ENSMUSG00000062987
mm13064 ENSMUSG00000047444
mm13063 ENSMUSG00000051493
mm13062 ENSMUSG00000050865
mm13061 ENSMUSG00000004070
mm13060 ENSMUSG00000025169
mm4651 ENSMUSG00000031264
mm4650 ENSMUSG00000022390
mm4653 ENSMUSG00000024287
mm4652 ENSMUSG00000068952
mm4655 ENSMUSG00000044936
mm4654 ENSMUSG00000031787
mm4657 ENSMUSG00000030523
mm4656 ENSMUSG00000020032
mm4659 ENSMUSG00000028607
mm4658 ENSMUSG00000031596
mm9829 ENSMUSG00000030815
mm9828 ENSMUSG00000029392
mm9821 ENSMUSG00000066740 ENSMUSG00000069659 ENSMUSG00000067117 ENSMUSG00000067035 ENSMUSG00000067363
mm9820 ENSMUSG00000040649
mm9823 ENSMUSG00000026401
mm9822 ENSMUSG00000044266
mm9825 ENSMUSG00000051890
mm9824 ENSMUSG00000018775 ENSMUSG00000064241
mm9827 ENSMUSG00000020253
mm9826 ENSMUSG00000069236
mm19609 ENSMUSG00000021241
mm19608 ENSMUSG00000062501
mm19605 ENSMUSG00000039714
mm19604 DIP:24247N ENSMUSG00000032698
mm19607 ENSMUSG00000052401
mm19606 ENSMUSG00000053411
mm19601 ENSMUSG00000002930
mm19600 ENSMUSG00000069332
mm19603 ENSMUSG00000062846 ENSMUSG00000015120 DIP:503N
mm19602 ENSMUSG00000044018
mm14929 ENSMUSG00000033781
mm14928 ENSMUSG00000063529
mm14923 ENSMUSG00000019821
mm14922 ENSMUSG00000054744
mm14921 ENSMUSG00000000817
mm14920 ENSMUSG00000007946
mm14927 ENSMUSG00000028690
mm14926 ENSMUSG00000042892
mm14925 ENSMUSG00000026922
mm14924 ENSMUSG00000043372
mm15036 ENSMUSG00000022330
mm15037 ENSMUSG00000042333
mm24229 ENSMUSG00000066259
mm24228 ENSMUSG00000066474
mm15032 ENSMUSG00000046271
mm15033 ENSMUSG00000028132
mm15030 ENSMUSG00000022748
mm7309 ENSMUSG00000067236
mm7306 ENSMUSG00000053985
mm7307 ENSMUSG00000041189
mm24221 ENSMUSG00000067680
mm7305 ENSMUSG00000034336
mm7302 ENSMUSG00000029636
mm7303 ENSMUSG00000010914
mm15038 ENSMUSG00000023966
mm7301 ENSMUSG00000001785
mm10008 ENSMUSG00000067701
mm10009 ENSMUSG00000051016
mm10000 ENSMUSG00000038542
mm10001 ENSMUSG00000031445
mm10002 ENSMUSG00000002325
mm10003 ENSMUSG00000045634
mm10004 ENSMUSG00000020687
mm10005 ENSMUSG00000032333
mm10006 ENSMUSG00000043519
mm10007 ENSMUSG00000044334
mm21769 ENSMUSG00000068370 ENSMUSG00000068377
mm21768 ENSMUSG00000059077
mm21765 ENSMUSG00000029975
mm21764 ENSMUSG00000056257
mm21767 ENSMUSG00000048628
mm21766 ENSMUSG00000044349
mm21761 ENSMUSG00000032048
mm21760 ENSMUSG00000054514
mm21763 ENSMUSG00000067859
mm21762 ENSMUSG00000049155
mm20418 ENSMUSG00000032900
mm20419 ENSMUSG00000032905
mm20414 ENSMUSG00000070032
mm20415 ENSMUSG00000018916
mm20416 ENSMUSG00000057650
mm20417 ENSMUSG00000052976
mm20410 ENSMUSG00000058879
mm20411 ENSMUSG00000066622
mm20412 ENSMUSG00000048484
mm20413 ENSMUSG00000043697
mm11357 ENSMUSG00000032599
mm11356 ENSMUSG00000061783
mm11355 ENSMUSG00000025128
mm11354 ENSMUSG00000020733
mm11353 ENSMUSG00000068745
mm11352 ENSMUSG00000069093
mm11351 ENSMUSG00000037071
mm11350 ENSMUSG00000000125
mm11359 ENSMUSG00000021189
mm11358 ENSMUSG00000053422
mm23990 ENSMUSG00000066062
mm15111 ENSMUSG00000052326
mm23992 ENSMUSG00000069328
mm23993 ENSMUSG00000068618
mm23994 ENSMUSG00000068698
mm23995 ENSMUSG00000066128
mm23996 ENSMUSG00000044863
mm23997 ENSMUSG00000069778
mm23998 ENSMUSG00000068664
mm23999 ENSMUSG00000068667
mm15113 ENSMUSG00000026676
mm15112 ENSMUSG00000046997
mm19476 ENSMUSG00000034566 ENSMUSG00000068706
mm19477 ENSMUSG00000021020
mm19474 ENSMUSG00000053177
mm759 ENSMUSG00000033597
mm758 ENSMUSG00000020841
mm757 ENSMUSG00000029190
mm756 ENSMUSG00000032584
mm755 ENSMUSG00000009376
mm754 ENSMUSG00000021945
mm753 ENSMUSG00000056724
mm752 ENSMUSG00000049571
mm751 ENSMUSG00000026274
mm750 ENSMUSG00000042699
mm23334 ENSMUSG00000053678
mm23335 ENSMUSG00000069339
mm23336 ENSMUSG00000044503
mm23337 DIP:326N
mm23330 ENSMUSG00000058774
mm23331 ENSMUSG00000066514
mm23332 ENSMUSG00000044743
mm23333 ENSMUSG00000032766
mm23338 ENSMUSG00000069554
mm23339 ENSMUSG00000066409
mm15700 ENSMUSG00000069403 ENSMUSG00000058585
mm17599 ENSMUSG00000047383
mm22325 ENSMUSG00000002416
mm17597 ENSMUSG00000067767
mm17596 ENSMUSG00000000183
mm17595 ENSMUSG00000063786
mm17594 ENSMUSG00000053909
mm17593 ENSMUSG00000051232
mm17592 ENSMUSG00000027574
mm17591 ENSMUSG00000067666
mm17590 ENSMUSG00000032549
mm15703 ENSMUSG00000028221
mm15704 ENSMUSG00000029326
mm15705 ENSMUSG00000024487
mm15706 ENSMUSG00000042436
mm15707 ENSMUSG00000014873
mm18215 ENSMUSG00000028785
mm18214 ENSMUSG00000061086
mm18217 ENSMUSG00000026943
mm18216 ENSMUSG00000060747
mm18211 ENSMUSG00000068661
mm18210 ENSMUSG00000021774
mm18213 ENSMUSG00000020186
mm18212 ENSMUSG00000063801
mm18219 ENSMUSG00000069208
mm18218 ENSMUSG00000029499
mm19164 ENSMUSG00000032057
mm19165 ENSMUSG00000030547
mm19166 ENSMUSG00000043351
mm19167 ENSMUSG00000068871 ENSMUSG00000067750 ENSMUSG00000041722
mm19160 ENSMUSG00000031818
mm19161 ENSMUSG00000030672
mm19162 ENSMUSG00000066789
mm19163 ENSMUSG00000015484
mm19168 ENSMUSG00000053016
mm19169 ENSMUSG00000069128
mm14028 ENSMUSG00000026576
mm14029 ENSMUSG00000042743
mm14026 ENSMUSG00000047655
mm14027 ENSMUSG00000066639
mm14024 ENSMUSG00000029672
mm14025 ENSMUSG00000062712
mm14022 ENSMUSG00000019505
mm14023 ENSMUSG00000048787
mm14020 ENSMUSG00000043308
mm14021 ENSMUSG00000054409
mm10035 ENSMUSG00000041704
mm21404 ENSMUSG00000060172
mm21405 ENSMUSG00000067835
mm21406 ENSMUSG00000010406
mm21407 ENSMUSG00000052254
mm21400 ENSMUSG00000031927
mm21401 ENSMUSG00000027602
mm21402 ENSMUSG00000040399
mm21403 ENSMUSG00000018451
mm10034 ENSMUSG00000032226
mm21408 ENSMUSG00000033638
mm21409 ENSMUSG00000015656
mm256 ENSMUSG00000019769
mm257 ENSMUSG00000041852
mm254 ENSMUSG00000062372
mm255 ENSMUSG00000001150
mm252 ENSMUSG00000030739
mm253 ENSMUSG00000020154
mm250 ENSMUSG00000040860
mm251 ENSMUSG00000020900
mm258 ENSMUSG00000031142
mm259 ENSMUSG00000018830
mm3092 ENSMUSG00000004085
mm3093 ENSMUSG00000007833
mm3090 ENSMUSG00000053799
mm3091 ENSMUSG00000004952
mm3096 ENSMUSG00000003123
mm3097 DIP:6031N
mm3094 ENSMUSG00000059339 ENSMUSG00000059160
mm3095 ENSMUSG00000034145
mm3098 ENSMUSG00000025049
