E2R9K4	A6QLA8	P35739	P12023	Q5EBL4
E2RNB4	E1BE90	E9PSX8	Q60821	Q14493
F6V776	F1MBI8	P24528	Q66JT7	P53672
E2RP04	A6H7B5	Q4QQV0	Q99LF4	Q7RTS1
F1PWF0	E1BB27	D3ZCQ9	Q61687	P08582
E2R2I5	Q1LZ94	P04785	Q8R080	Q8N5Q5
F1Q067	Q0VBY8	D3ZV49	Q9D823	Q96PY6
F1PXZ3	F1MRW5	Q920L0	Q01705	Q8NBL1
E2RG71	E1BPP5	Q499U1	Q9CRC3	O94913
F2Z4P9	A7MB74	B5DEH2	Q921G8	Q9UBH6
E2RLZ8	Q58D20	D3ZYK9	Q9Z247	Q8TBG4
F1PBX6	Q3SWX9	A0A0G2JZT6	Q8VDJ3	Q5SVQ8
E2QWL1	Q3T0L2	P41156	Q62172	Q9NS66
Q9TV68	E1BF32	D3ZSL2	Q9Z0F3	P41214
E2RFR0	A7Z025	P38983	P35980	Q8NBB2
E2R8P1	P80177	Q496Y7	Q8BTS4	Q8TDM5
E2RAF7	G3N0R1	D3ZPY2	D3YZV8	P21580
E2RQG8	F1N059	G3V936	A0A0R4J066	Q6UW10
F1PPD2	Q58D31	D4A5K6	P11798	Q13895
H9GWC4	A4FUY6	A0A0G2K7M2	P35582	Q14681
F1PUU0	Q2KI42	Q56A27	P46061	Q9NX94
F1PRL5	Q3SZ11	P35565	Q9Z1M4	P11233
F1PBW6	A1A4M2	D4A505	B9EJW5	Q9UKY4
E2RM61	G3N262	Q0ZFS8	Q8K4Z5	P26885
F6V234	F1MXE4	A0A0G2JWA3	Q3TLH4	Q8TDX7
E2QYW0	F1N7W4	Q9Z340	P46414	P78363
F1PJ01	Q1LZH5	Q0VJ96	Q91WG5	Q9BYQ4
E2RBL9	E1BI01	D3ZIM3	P58391	Q9H400
E2RCL4	F1N0J0	F1M6V1	P16254	Q3BBV2
F6XCD9	E1B907	D4A913	Q9CXR1	Q12830
E2QUY7	A5D7D1	Q5FVM2	Q9Z265	P49715
F1PAA2	O18971	B2GUZ0	Q9Z1E3	P52736
E2RTL5	E1B946	A0A0G2JXP3	Q8CBC7	Q9NXR7
E2QXW9	B2BBK0	D3ZN16	Q8BHZ0	P80108
F1PVU1	E1BNS3	A0A0G2JWF0	Q8BZT2	O95977
E2RGH5	Q0II26	Q5RJR9	Q99J62	Q92621
E2R465	Q24JZ9	A0A0G2JXG5	O89086	P16383
F1PZ83	A1A4K4	Q642E6	A2ALU4	Q59H13
F1Q0X9	E1BI52	F1MAG1	Q8VHH8	Q9NQL2
J9PB57	A5PJP5	D3ZRK7	E9Q616	P46821
J9NTG2	F1MWE0	F7ENH8	O35226	Q12947
E2R3H9	Q1RMW3	F1LS98	Q3UM33	O43638
J9P108	Q17QV5	F1M614	Q8R3E3	Q9NY97
F1P643	E1BDE2	P55159	Q8K4I3	P49069
F1PGC3	Q2YDI5	Q6P6Q6	Q4V9W2	P14902
F1PZF2	F1N409	G3V7L2	Q8VID5	Q9H211
J9P2P4	F1MKW9	B0BNL2	O08586	A0A075B762
E2RDR1	E1BIQ6	G3V890	Q8BTR5	Q9H165
E2RFS7	F1MJZ1	D3ZWE0	Q5SVF9	P30622
E2RSU0	F1MC50	D3ZY40	Q6NVF0	Q8N9N2
E2RJC1	F1MKI8	Q63100	O08785	Q8WYF4
E2RSP5	F1MUI9	Q5FWS4	Q3TAU7	Q5I0X4
P61007	F1N2J2	Q9JID1	P23927	A1L390
J9NSU8	P19238	Q5U3Z6	P47879	Q8IWS0
E2RER0	A6QLA0	D4A106	Q7TT35	Q9ULF5
E2R5Q5	F1N789	Q6AXW2	A2ASS6	P47900
F1P8N6	G3X6V0	P12785	D3Z3N4	P0C0L5
E2RBZ1	Q32KT0	O08617	Q9QYP6	Q53QV2
E2RKQ4	E1B8U4	D3ZE16	Q8BIS8	P25090
J9NWE1	Q28072	D4ADD3	F6RPJ9	Q99576
E2RBX9	G3N2T3	Q5XIA3	Q8K003	O15482
F1PS69	F1MDW1	F1LQX9	E0CYV0	Q14916
E2RGB9	Q0IIL5	D4ACP3	Q8CB76	Q9HCI6
F1PV92	E1BPL8	D4A4A8	A0A0N4SVL0	Q6ZSZ6
F1Q2P1	E1BIZ2	D3ZDD7	E9Q1G8	O15235
F1PAP5	A6QLR2	A0A0G2K437	Q9DB77	Q6L8Q7
J9NWN4	A7Z063	Q8VHV7	E5FYH1	Q5JXC2
E2RGP8	E1B8L7	G3V852	P35700	Q04726
F1Q0V5	G3MWT4	D4ADM7	Q5DTT8	Q9Y6K8
F1PNZ5	F1MT17	Q8VH46	P39749	Q06730
F1PQC1	E1BNJ5	A0A0G2JZJ0	Q8BR90	Q8WUJ1
F1PSD5	F1N0G5	Q6AXS2	Q8BM65	P26718
F1PCF3	Q08DI0	D3ZQB1	Q6PIU9	Q9UHG0
E2R0D6	F1MNS2	D3ZK73	P63001	P61619
F1PSN1	E1B7G4	D3ZF67	P41209	O75677
F1PZG8	Q3T0B9	O09018	Q9JM52	Q8N183
H9GWY1	E1BE12	A0A0G2KAF6	Q2KHI9	Q8TDX6
E2RB15	A0JN74	P11762	Q6NS82	P61086
J9NSX3	G3N263	G3V619	P53668	Q5VTR2
F1PQU4	G3X6K5	P61354	E9Q6A7	Q9HAV7
E2R5T3	E1BP46	P97582	Q5SSF7	Q9BYF1
F1P7A3	Q9TU26	F1M0U5	P10168	Q9UIQ6
E2QWT8	Q1LZC9	Q05140	Q9JM87	Q7Z419
E2RDA2	P0C2B7	M0R7R2	Q8CGI1	O43699
E2RN32	F1MX20	Q924M6	Q9D6X5	P60827
E2RR10	Q1RMS8	Q62623	P47811	P60981
E2QZS6	F1MCW9	D3ZWI0	Q6YND2	Q9NWV4
F6XGZ6	A1L521	F1MA18	Q9JKX4	P61601
F1P7V6	F1MG10	Q71UF4	O55222	P98095
F1PNX1	P82923	Q4G009	Q6PE01	Q86X24
F1PRH2	F1MF66	B2RYS2	Q3V079	A3KN83
E2QXD9	F1MHV5	G3V727	Q9D902	P02538
J9P2C8	F1MIC9	D4ADE5	P47941	Q13164
E2RCN4	E1B9G4	Q9R1E9	Q8BTQ0	P07510
J9NXW2	Q02366	Q8K4I6	Q9DC61	Q9Y484
F6UTV5	F6QS88	P35704	Q8BWC6	Q8N9W5
F6XE95	Q32PG1	D3ZAI0	P99029	P31942
E2RS70	A6QQX8	Q6AYK5	E9QN31	Q9HD67
F1P8Z8	E1BER6	A0A0G2K4X2	Q8K194	Q9H0F5
F1PJW5	F1MUF4	Q9Z1N1	D3Z1D7	Q6ICG6
J9NX11	Q3MIC0	F7F0B1	Q0P678	Q15526
E2QS96	G3N016	F1LN69	Q925J9	Q6UWJ1
F6V144	F1N3Q1	Q6IN38	Q9JLJ2	Q96HH6
J9P5X6	E1BNK3	F1LNV4	Q8VDY9	Q15413
F1PB57	F1MC75	D3ZPP9	Q9DCX7	Q6PII3
E2RKH7	E1BEI3	A0A0G2K4B0	Q9CZX8	Q9P2X7
E2QUM5	Q3T087	Q5M9F1	P57784	Q6ZMD2
E2RH75	F1MNS7	P09495	Q9QY23	O95202
F1PLS4	F1MMD5	B2RYJ3	A2A432	P51532
J9P1L5	F1MDN8	Q4KM38	Q9QXV1	Q9NQW8
F1PQW5	A6QLV3	B5DF74	Q9D0R9	P04229
E2R1Z7	G3X7R8	M0R7E6	Q8BJ71	Q9UP38
F1PB61	F1MWN1	Q641W4	P26040	Q6NT76
F1Q303	F1MWN3	Q0PXQ8	Q9WVE8	Q5T6C5
E2R8Y5	Q0VCY5	F1LZM0	Q8CG50	P78346
E2R8D5	F1MSK3	G3V9Q4	Q62447	Q6N022
E2RCH7	Q05B83	D3ZRG0	Q9D706	Q86V97
E2RGP6	Q1LZB2	B2RYH5	B1AUF1	O15245
E2R0D1	Q17QG2	E9PU01	Q99J83	Q8NFP9
E2R624	P0CB32	O08769	P67778	Q96FT7
E2R866	Q17QH2	D4A8C6	Q9Z218	Q9UBU6
J9P6E2	E1BBL0	D3ZI16	Q9D1R9	Q0JRZ9
E2RDE8	Q08DH0	B0BN82	P98083	Q9H0Y0
E2QV07	Q3MHE4	D4A781	P70698	O75882
E2RA52	Q5E966	Q10758	P15864	Q96F81
E2RFZ0	E1BC67	R9PXS8	Q64729	Q86Y82
E2RCP2	E1BC81	A0SZW2	P58043	P38484
J9NS10	Q0VBZ0	A0A0U1RRS7	P27782	P19544
J9NRH2	E1BH89	D3ZXN9	Q9JIF0	Q9UNX3
F1PL63	Q0VCK0	Q80ZG5	Q9DAT2	O14645
E2RIP6	Q95KV1	M0R9T2	P08228	P11912
E2RM73	E1BIF0	B1WC58	P21279	Q9UBK8
E2QUS5	F1N7J2	G3V728	Q99JY0	Q15027
E2RRT5	A2VDK6	G3V7B0	P50518	A8K1L8
E2R5D2	Q1RMT4	Q925Q9	Q8K3J5	Q4G0P3
F1PTX4	F1N7I5	D3Z941	Q8BY02	Q96BW1
E2RK32	E1B843	A0A0G2JYW2	D6RGQ2	Q9Y244
E2RML9	E1BAN8	F1LR25	P20263	P10721
J9NRX2	G8JKZ8	A0A0H2UHI2	P06151	Q14152
J9P8Z0	Q3Y598	A0A0H2UHH1	Q62424	O75610
J9P2I8	F1MCA8	Q5PPJ6	Q9D071	Q8TBR7
E2RQP2	Q3T0J0	A0A0G2K8M7	Q8BNJ6	Q9Y6K1
F6XMP7	E1BQ11	D3ZM69	Q9CZ13	A7E2V4
J9P8L3	A5D960	Q6AYF8	P13808	Q9UNE0
J9P565	F1N3S9	G3V847	O08609	O60810
E2REU7	A0A140T846	P58775	O35345	Q658P3
E2RQE3	A5D9H9	B1WC02	Q80YR5	Q9NQ87
E2REX8	G5E5Y0	Q6P9V1	Q9CR47	A6NP11
E2RP05	Q2HJ60	P62907	P47963	Q9NXJ5
E2RK17	Q29RL6	Q68G41	G3UZZ2	P78324
E2RNL3	E1BFZ9	G3V6T1	Q6PB66	O60688
F1PY49	O46629	G3V6T7	Q5XJY5	O00631
F1Q0Z6	F6QNX4	P83871	D6RHB1	Q9Y5R6
F1P7W5	E1BBD2	P10686	P28047	Q7Z6M4
F1P631	E1BKR0	Q62956	Q8CE93	P14555
F1Q0J4	E1BNC7	D4A625	Q9D8Y1	Q9NYQ8
E2RA22	A4IFI7	D4ADG3	Q8BRV5	Q9UL63
E2R5R1	F6QYC3	Q7M0E7	Q80ZA7	A4D1I3
F1PA42	F1MBL6	Q5BK32	Q9Z255	P60602
E2RA27	F6QHJ6	Q6P6U2	Q9EQC1	Q9UNN5
E2R9L8	F1MY80	A0A0G2JSP7	Q5SSK3	Q9BY78
F1PCQ4	E1B9D9	A0A0G2KAB9	O55042	Q96EK2
A0A140T8E7	Q3ZBF3	Q6AXT0	Q9WUB0	P35270
F6V9M3	F1N4K6	Q71DI1	Q91WE3	A0A0U1RQS4
J9NRY5	G3N0J0	Q5BJQ7	G5E8C4	B2R550
E2R1G1	F1MJW5	F1M4W7	Q69ZT1	Q9Y2C9
J9NYK5	Q3SYZ9	Q5U3Z7	Q8CB62	Q99814
E2QW39	F1MCT1	F1LTM7	Q9ERF8	Q24JU4
F1PP71	F1N412	G3V6D1	Q8VCC9	Q53G25
E2QX24	F1MVW5	Q08163	P70333	B4DRD7
F1PNZ3	F1MDV3	A0A0G2KAU8	Q8CFK9	Q5SW24
F1PQP1	F1MHQ9	D4AAM1	P97501	P78382
F1PZE9	F1MET5	D3ZMG2	Q64302	Q8NHS3
J9NUW7	G3N2U0	A0A0G2JZE5	Q8R1Q9	Q7Z2K6
Q9GKP3	F1MH87	G3V756	O09105	P57768
E2QYH6	F1MBE9	P50399	Q9QUM5	P32243
E2QY95	F1MW83	G3V8M1	P35123	P47775
E2RNQ8	E1BI26	Q5U2Z3	Q91WJ8	Q6NSX1
E2RNU4	A7Z065	A0A0G2K4Y2	Q8VDM6	Q9NPC2
E2RAY0	E1BMP9	Q5BKB0	Q8CHV6	Q96LM8
F1PQ29	O18789	Q4KLY4	P26369	Q6AI14
E2RSE9	E1B7Q6	D4A914	Q8VHX6	Q15334
E2RNA9	Q28034	Q6DGF2	Q61191	P18507
J9NSG1	Q5E9F8	A0A140TAA4	Q9QYH6	P01583
E2RBD1	F1N605	E9PTB2	Q9R190	P63313
E2QZV5	A6QLS9	P82808	Q9WVK4	Q9H0E7
F1PZ52	E1BIR0	D3ZTW9	Q5FW85	Q8NGX2
E2R023	G3N2N2	D3ZIL9	O08850	Q4G0A6
J9PAI1	A6H7E1	D3ZS59	Q9QZS7	Q7Z2T5
F1PV96	G8JKV7	F1LPZ8	Q9R210	P06280
J9P9E7	A5PJK4	M0R446	Q14BJ1	O15540
E2R5Q8	E1BIS6	D3Z8D3	Q3UXL4	Q99766
E2RN97	A4FV02	G3V7B2	Q32MD9	Q16763
E2QXI6	F1MVS0	E9PSU2	Q9CQW9	Q9Y2B9
J9P0L5	Q2NKZ1	Q9WTQ0	O35698	Q9Y2E6
F6Y732	Q3ZBK6	Q6IUR5	Q7TND5	Q2M3V2
F1PW85	Q32PF7	Q5BJT2	Q7TT23	P86496
J9NVM6	F1N2T0	Q66X93	E9PZB3	Q9NXB0
E2RMR3	Q3SYU2	A0A0G2K719	P62908	D3DR86
E2RJJ1	F1MLW2	D4A060	P10648	Q9NUL2
F1PJ27	F1MC55	D4AEH8	Q9EQ08	Q8IWY9
E2QZ37	E1BEG6	P26772	Q5DTG8	B2RU33
E2QZ05	F1MY28	A0A0G2K8K2	Q4FE56	O14939
F1PI42	F1MNS8	Q6MG61	P97315	O43240
J9NT57	P00514	Q68FS2	E9Q3X0	P52790
E2RPY6	F1MLK9	Q8VHZ4	Q60520	P16104
E2R5F6	F6PU87	D3ZMN5	D3YTV3	Q8WTS1
F1PRS5	A6QLQ3	Q6QDP7	Q8BGQ6	Q9BZD6
E2QSM2	A4FV46	R9PXT8	Q61606	P15121
E2RN47	Q2T9R0	E9PSZ0	Q8CHC8	Q9UEJ3
O46674	F1MVD0	P38438	Q91WK2	Q9C0J1
E2R5J6	G3N3X4	Q62658	Q60862	Q9UJP4
F1Q3M7	G3MXB8	F1LUB0	Q8BG28	O95500
F1PE35	E1BNA1	Q6PCU4	Q9WUK4	Q07960
F1PPT8	E1BLX1	A0A0G2QC30	Q80VP9	Q96BQ5
E2RD95	F1N556	A0A0G2K8P3	Q8R317	O60259
E2QUY0	F1MZX0	D4A3T0	E9PWA9	O95863
E2RMH1	Q06600	D4ABV2	Q9ES83	Q15012
E2RD85	F1MN19	G3V717	Q02053	Q9HAU4
J9PA12	F1N7Q0	G3V738	K3W4R5	Q8WYB7
E2RBL5	Q0P5B6	Q5PQJ8	Q02111	Q71F23
J9JHR4	A7MB80	D4A962	O88477	Q9Y6C9
P18066	A5D7G6	Q91XQ2	Q60644	P16233
E2QW60	F1MVX2	D3ZCT7	Q61210	Q05BZ9
E2R2K8	Q05B79	B1WBY5	Q9ER69	P13798
E2R985	P20072	A0A0G2K373	Q7M6Y3	Q969P0
E2QZR6	P15690	A0A0G2JX92	Q6P9R2	Q8N196
E2RPZ9	Q3SZV7	Q6AY24	Q8BX22	Q9Y3Y4
F1Q3I7	Q3T0Q6	Q6QLN3	Q3UKJ7	Q05519
E2R9T3	F6PYZ8	A0A0G2KAW2	Q8VE18	P16444
E2RJT7	A4FV97	A9CMB8	Q9D0B0	Q9H8T0
E2QWU2	A6QLV0	P42123	Q9R0L6	O00634
F1PL92	F1MXY9	Q7TPK5	Q68FL6	Q17RP2
E2R449	G8JKW2	D3Z921	Q8BXG3	Q9Y2Q3
J9P4U8	E1B8E6	G3V679	Q9CQN1	P27169
E2RBX1	Q3ZCA7	D4A0M3	A0A0R4J032	Q68D85
J9P8D4	E1BAW5	A0A0G2K1H9	Q3U492	Q70IA8
F1PFS1	F1MWF5	Q9JHK1	Q9D0K1	P26927
F1PDX2	E1BCW3	A0A0G2JX87	Q9CZ30	Q9UGK8
F1PIQ9	F1MPG7	E9PST5	P10107	P52948
F6UZP1	A5PJH6	Q66HE7	O08849	Q99418
F6X637	Q58DJ9	D4A8U7	F8VQ72	Q9BQ52
J9NRN6	Q5E9X4	F7FF45	E9PVX6	Q8NEY0
E2R8Q2	G3N0D9	D4A4T6	Q8BH76	Q9BU89
E2RN38	Q2KJA2	Q5M7V8	Q8CCS6	A4D104
J9NZ63	F1MXH7	D3ZSB7	Q9DBU3	Q499L9
E2QTG4	F1MAZ1	A0A0G2JWP8	Q60953	Q92544
E2R6N6	F1N458	A0A0G2JSW4	P51655	P30740
E2RE71	F1MGM4	D4A510	Q60692	O15514
L7N050	F1N6Y7	G3V6Z4	Q6ZWX6	P30039
E2RP40	E1BNT2	D3ZU64	Q9JHS9	P14384
E2REL5	F1MQ38	M0RA39	A0A0R4J0J1	Q7Z404
E2QXA6	E1B7U1	G3V959	Q9D7A8	Q8IWZ3
F1P977	F1MNP4	Q5XIE9	Q6PF93	P36543
E2R4J2	G5E5G9	R4GNK3	Q9ER67	O75478
F1PGF4	F6RJN8	Q9ESR9	Q8CFC2	Q96BY9
E2RR36	Q17QU6	Q5U2R4	Q9D2P4	Q9H832
F6XCF8	E1B7J9	Q5PQX0	O09118	Q9UK55
F1PI27	F1N7F3	A0A096P6L8	P19785	Q13617
F1PT73	G3X7G4	D3ZZZ9	P26231	Q9NRW3
E2RCP9	E1BF20	O35796	Q03265	Q9C0E2
F1PDX0	F1MBE8	Q5PQM4	P01326	Q9BT76
E2QVV7	F1N579	Q6AY02	O89112	Q8IWP3
F6XM67	G3X6Y3	F1LME3	P11352	P78562
E2R538	M0QVY7	A0A0G2K0A0	Q3TN31	Q1X8D7
E2RJH1	E1BDP9	A0A0H2UI24	Q6GQT0	Q96FE5
E2RKR4	F1MFZ7	D3ZAZ5	Q8CJG1	P50452
F1PYL5	A4IFC3	E9PTN4	Q6NZQ4	Q9Y5Z9
E2RC09	F1MYW4	A0A0U1RS25	Q3TKT4	P47897
F1PGL9	Q2TA06	P19139	Q99N57	Q5SRQ6
E2QUB8	F1MJR8	M0R5V1	P70190	Q9Y6H3
J9NXG8	A5PKA3	D3ZHE7	E9Q5Z6	Q7Z5A4
J9P8V5	E1B9D7	P36970	Q8BGM7	O75594
E2RP25	Q08DT0	D4A5W9	P61620	O95747
E2RPA3	Q27957	D4ABA9	P97819	Q9Y4F9
P61010	F1N1A8	A0A0G2K3H2	P27790	O95221
F1PPU4	A7MAZ2	P08644	P49452	O00268
F1PWX9	P10279	P25235	Q6P542	Q9UBK2
E2QVF9	Q148J6	Q68FT7	Q9D1Q6	Q6ZMJ4
E2RSE6	A7MB75	D3ZHF8	Q6GQT1	P0DOY2
F1PX61	Q2HJ58	D3ZIT4	Q9QYB2	Q9Y4L1
F1PN34	F6RR15	Q91ZW1	P97868	P35575
F1PG97	Q2KI94	F1LQC7	P46978	Q8IV54
F6XAE9	E1B8N6	Q5RK09	Q5SWD9	Q8N1N0
E2R1A8	A2VDT1	D4A651	J3KMM6	O43924
F1PLD8	E1BJP2	G3V7B8	Q9CR88	O00221
E2R0K2	A6QLP8	P49192	Q921S5	P52824
F6XFY9	O02691	G3V918	Q6AXB7	Q9UI38
E2RIX0	E1BJW7	D3ZLN7	P27038	O15075
F1Q0R0	F1MZU1	Q99JD4	P55302	Q5W5X9
J9NRL2	F1N6A0	F1LND7	A0A0N4SWA0	Q6ZN55
F1PHZ3	Q17QQ3	D3ZVI8	Q99K28	Q9P246
E2RQV6	F1MU48	Q9Z0V5	Q9QXX4	Q8N695
E2RM01	E1BM57	Q499S1	Q9JIP4	A9UHW6
E2R9B4	F1MXX5	A0A096UWG1	B1AWD9	O96001
J9NYR3	Q3SYS3	D0Q0Y7	Q9D3G5	O60284
F1PD01	F1MQC1	Q66H84	P63058	Q96KM6
J9P669	Q2HJH1	Q5JC29	Q9DBN5	P09914
J9P9V8	E1BN13	A0A0G2KB77	Q9ERL7	O14520
F1PID8	F6RSR1	Q4V898	Q9CQR2	P16066
F1PLE1	F1MFY1	D4A631	P42125	Q8NER1
J9NX18	A4IFI5	P83941	P31809	Q9BXF9
F1PGP5	E1BNP8	P55770	P62858	Q6NUP7
E2RMN2	F1MAZ6	D3ZWV8	P39428	P78423
F1PNK2	E1BNC4	B5DEZ3	Q8CIX8	Q9H706
E2R5H4	F1MJJ8	Q6AYK8	Q9WTK5	P48048
J9NXX4	E1BKY9	P21533	G5E880	O75570
F1PEN6	P80311	F1LQ81	P14873	Q4V9L6
E2QYG6	E1BIC4	A0A0G2K9J2	Q9CR50	O95837
F1PAR0	Q17QV3	Q63528	P23804	Q53GG5
O97799	Q3B7L9	F1M7L9	Q8VHR5	Q9Y5W7
E2RQW9	P15101	Q4V7E3	Q9JKP7	Q96GL9
J9P6N4	E1BFS2	P68255	Q61550	Q93009
E2RFA4	Q0VCQ9	Q64559	Q9CX00	Q14766
F1PEW1	G3MYW2	D4AEK9	F8VQC1	A8K2M0
E2RCE3	F1MHX1	Q8K1Q0	Q0VBL3	Q9H9E1
F6UYJ9	Q29RQ2	F1LRI5	P11416	Q8NBK3
F1PZF8	A6QQ46	D3Z9J7	Q62419	Q6XUX3
E2RD70	O77784	Q02874	Q8BX09	Q6S5L8
F1PY11	F1N6E9	Q4KLN8	A0A0A6YX89	Q9BWN1
F1PPR0	F1MBN2	Q5EAN7	Q9CR62	P22888
E2RR78	A6QPS6	Q5M808	Q9R0M4	O76050
E2RFV4	E1BGE5	Q6IRE4	Q3UJB0	Q9H3U1
E2RMU9	F1N6H0	Q9JKR5	Q9CQV3	Q86Y25
E2R8A2	G3N094	B0BNB1	Q62312	P21359
E2QWD3	Q3T169	O35303	P19091	P46109
E2RM26	A6QPJ9	Q8K3W5	Q8CIG8	O00339
F1PDQ4	Q3SZ41	Q99P99	Q3U141	P55085
F6XBS0	F1N6Q4	Q9ES40	Q8BYK6	Q9GZX9
E2R729	F1MU79	Q4AEF8	Q8K1M3	P19021
E2RRJ7	G5E551	Q08849	Q8JZU0	P21554
E2QYW2	F1N7B5	A0A0G2JVW5	O70551	Q504Q3
E2R037	F1MU29	Q63663	Q9WV86	O14604
A0A140T8D8	E1BC13	D3ZHF1	Q9D428	Q9Y232
F1PQQ7	F1MYE0	G3V897	Q91W90	Q7KYR7
J9PAY8	P49410	F1LRT9	V9GXA7	Q9BT08
E2RAV2	G8JKV5	Q7TP47	Q6PDM2	Q92574
E2RKB8	G5E675	D4A8M5	P56960	Q9H6Z9
F1P892	E1BI56	D3ZF29	Q8CGC4	O75752
J9JHM3	Q5E951	Q7M733	Q68FM6	Q15928
F1PWL4	A7MB47	D4A0S1	E9Q2M3	P23469
F1PGX0	Q28199	Q5BK44	Q6ZPJ3	Q8NET4
J9NU65	F1MDX4	D4ABD5	Q80UW5	Q9HBT7
F1PHH4	A1XG22	Q59IV9	P99024	O75449
J9PBG8	F1MN61	B2RYW7	P52912	Q9NXT0
F1PMV8	P63292	P50463	E9Q468	Q9H9P8
E2QUD2	F1MDT3	D3Z945	Q8K248	Q86XP1
J9NWH3	F1N5L8	F1LZZ6	Q9Z2Z9	Q8N4T4
F1PCR1	F1MWE5	Q5UEM7	Q66JQ7	Q9BXW4
F1PH38	E1BCC1	O08781	Q8R1V4	Q8WYR4
F1Q113	A6H6X4	P41738	Q3TWL2	Q16626
E2RM68	G3MZS9	Q5I0K8	Q8VHZ7	Q9NQ69
F6UTZ5	A6QQZ0	D4A997	Q7TQK4	Q6UXV4
E2QUE7	F6QIA5	F1M062	Q78PY7	P0CE71
F1PUC7	F1N7N1	D4A1J6	Q80YS6	Q0P6D6
P18067	Q5E9D1	A0A140TAI1	Q9JKB3	A2RRG2
J9NTP2	F1MSB4	G3V825	A0A1L1SQ51	Q6UXZ3
E2RMN6	Q5E952	F1M3H8	P62855	P46089
E2RNT2	A8E4M8	Q9EPG9	Q99K60	Q17RD9
J9P381	A7E3S8	F1LNV7	Q3UKC1	P55042
J9P251	E1BKN2	F1LQ62	O54949	Q8NDZ2
F6Y037	A6QLZ0	D3ZDK2	Q61466	Q7KZF4
F1PK78	P03910	D4A5I4	E9QM16	Q8WVP7
J9PAB8	F1MGH0	Q6P742	P97346	Q9HDC8
E2RJ26	A4IFJ8	Q5BJN3	A2A513	Q8NDB2
F1PEI3	A4FUY8	D3ZNI5	Q99LH1	Q9NWJ2
J9NWN7	Q2HJD1	D3ZWS0	Q9Z1Y4	P15880
F1PTL1	Q0V8S0	Q5PQR7	Q3UIA2	Q5FWF4
F1PFN1	F1MPX1	A0A0G2K1B0	A3KGB4	P43897
E2QV99	Q5E969	Q6AXP3	Q3TQ88	I3L0A0
E2QY91	Q0P584	F1M801	Q9R1T2	Q9Y263
J9P4E2	E1BGD4	P41137	B2RX88	Q05655
E2QUZ3	P0CG53	G3V913	P05480	Q5UIP0
J9P5R7	Q0P5E9	F1M9S9	A0A087WRR7	P17600
E2R7N4	F1MBF6	B1WC84	Q8BVU0	P23497
E2R434	E1B6X8	F1LQP9	P47738	Q9NUD7
F1PNG1	Q27991	Q4FZS2	Q9EPL8	Q9BPW4
F1PPT7	E1BDE7	F1LV37	Q80U93	O76076
F1P954	Q29RR8	D3ZRA7	P52793	Q9BXI2
E2R967	F1MQD1	Q6IMK2	Q8VCU2	P01225
E2RJ89	Q27966	Q7TPB1	Q9JI11	O43295
F1Q1D2	Q0VCZ5	Q6AY27	E9Q8K8	Q86SR1
Z4YHE9	Q5EA82	Q3MID6	O88939	O15523
F1Q2J8	Q9GMB8	F1M6V8	Q5UAK0	Q53H47
F1PMT5	E1B731	F1LS76	Q9QZS0	Q14980
F1PLV6	Q58DH8	F1LN75	F6VXZ2	Q8N414
F6Y140	Q3T165	F1LM33	Q8BVY0	Q92828
F1PI77	G3N205	Q6DGG1	P25318	Q9Y2I8
E2RNK3	G3MXF3	Q4V7A5	P20181	O75167
E2RT55	E1B9D1	D3ZVQ0	Q61666	Q6TDU7
F1P740	A5D7N3	D3ZCQ2	Q8BNY6	Q96B36
E2RR09	F1N2Q3	F1M9B2	Q8VCK6	Q9NTJ4
J9NRJ7	F1MTA8	A0A0G2JUI2	Q9D805	Q4G1C9
J9NVT1	F1MHR0	Q53B90	Q8K4L6	P16870
F1PQA5	F1N0J9	Q4KM87	O09061	Q9BU23
F6X976	Q3SYV6	D4A0I8	Q3TDN2	Q9NZ71
F1PIY1	O77628	A0A0G2K970	O70456	Q9NYR9
E2QWZ7	F1MSZ6	A0A096MIS7	Q62189	Q8WTR7
E2R351	P20456	Q9Z2Q1	Q8BHD8	Q6NTE8
E2RFF7	A7MB12	G3V864	Q9D7M1	Q9NP79
E2RM86	G3N1X3	D3ZWP1	Q31125	Q96JJ7
F1PXG0	E1BB73	A1L1L2	Q7TNG5	Q92629
F1PXP9	Q9XSB5	F1M4J0	O88522	P23760
E2RCG3	F2Z4I6	G3V7B7	Q9D0R8	P54136
F1PK45	E1BIQ7	D3ZPJ9	O70477	Q14CX7
J9NUK4	F1MIT2	D3ZGL5	Q811D0	Q8N456
F1PCT1	F1N032	Q9JI92	Q8K368	Q16777
F1PBJ4	P09867	D3ZVH2	P97351	P55056
F1PPT2	P61763	Q6P7Q4	P61961	O43829
F1PI14	H9GW31	Q6MGB4	Q810K9	Q9BSV6
F1PQA6	Q17QB8	P61374	Q6PHZ5	Q03188
F6Y258	F1MJ58	F1MA98	P97784	Q9UBX5
F1Q2G5	F1N4Q5	Q66H71	P12246	O43930
E2RCH8	O77834	Q91Y81	G3UWX1	P80370
Q5TJE6	F1MXH6	Q9JLT6	Q9QWV4	Q8IUZ0
F1P8M8	Q5BIM8	Q9JM53	P86048	Q15561
F1P8E9	E1B8F2	Q99MA2	Q9D9M5	P84996
F1PEA6	Q5E954	F1LR10	Q8JZQ9	P49720
J9NWZ2	A7MB70	D3ZJ02	Q9QXU7	O60575
